SRR27190676,SRR27190684,SRR27190685,SRR27190700,SRR27190708,SRR27190710
19,0,8,2,7,22.00003
4039.84279,12368.95233,9594.1751,14223.975790000002,4438.092089999999,4119.995000000001
2408.482203046637,4339.324531331951,3368.8428076783803,3332.99883375,3985.8696587744953,3478.9375164165062
250.64508,312.16668000000004,514.37216,243.28879,390.8860420000001,258.68301999999994
11,1,4,1,1,12.040939999999999
11363.755700000002,33970.97655,26576.1539159332,17961.64883,30854.739239999995,14857.58679
12.00418912677,20.514215,20.042837,5.99999994533,15.01930372,20.06219
198.03068973569,286.00180839999996,484.999796256692,307.99999,285.00001000000003,231.71473817384322
0,0,0,5,0,0
96.4184762,94.0959,188.3759,63.9044,131.40909,115.3878
0,7.00691,4.0072,7,2,8.41197
87,82.999973943697,169.00036305,64.99993001710361,98.99998351041,122.0001
3,13,36.53921,6.232189999999999,18.70486,21.38428339
568.0004,1294,1238,798.9994,736.9999999999999,570.001
20.7287,61.5896,53.146530000000006,83.41511000000001,81.847756,81.02532000000001
289.999972815,298.0003000288676,387,322.0002609740236,470.0002,231.00028
